C骴igo del organismo;Nombre del organismo;A駉 Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Otros gastos de administraci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;1.163.245
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Gastos de actividades de investigaci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Gastos de actividades de educaci髇 c韛ica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Gastos de actividades de fomento a la participaci髇 femenina;Pesos;0;0;0;0;0;0;0;0;0;0;0;5.524.960
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Gastos de actividades de fomento a la participaci髇 de los j髒enes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Cr閐itos de corto plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Cr閐itos de largo plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Gastos de las actividades de preparaci髇 de candidatos a cargos de elecci髇 popular;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Gastos de las actividades de formaci髇 de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Gastos de personal;Pesos;2.122.903;3.777.556;10.436.636;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Gastos de adquisici髇 de bienes y servicios o gastos corrientes;Pesos;814.174;1.614.319;2.609.051;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Otros gastos de administraci髇;Pesos;152.313;1.362.995;2.644.719;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Gastos de actividades de investigaci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Gastos de actividades de educaci髇 c韛ica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Gastos de actividades de fomento a la participaci贸n femenina;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Gastos de actividades de fomento a la participaci贸n de los j贸venes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Gastos de las actividades de preparaci贸n de candidatos a cargos de elecci贸n popular;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Gastos de las actividades de formaci贸n de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Gastos financieros por pr閟tamos de corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Gastos financieros por pr閟tamos de largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Cr閐itos de corto plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Cr閐itos de largo plazo, inversiones y valores de operaciones de capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evoluci髇 Pol韙ica (Ev髉oli);2017;Ene - Mar;Gastos de Personal;Pesos;7.772.346;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evoluci髇 Pol韙ica (Ev髉oli);2017;Ene - Mar;Gastos de adquisici髇 de bienes y servicios o gastos corrientes;Pesos;30.895.341;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evoluci髇 Pol韙ica (Ev髉oli);2017;Ene - Mar;Otros gastos de administraci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evoluci髇 Pol韙ica (Ev髉oli);2017;Ene - Mar;Gastos de actividades de investigaci髇;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evoluci髇 Pol韙ica (Ev髉oli);2017;Ene - Mar;Gastos de actividades de educaci髇 c韛ica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
